clip_name,clip_directory,frame_count,complete_16_frames,detected_frame_indices,missing_frame_indices,extra_frame_indices,folder_size_bytes
01-01-01-01-01-01-01,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-01,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,256980
01-01-01-01-01-01-02,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-02,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,280415
01-01-01-01-01-01-03,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-03,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,287601
01-01-01-01-01-01-04,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-04,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,287953
01-01-01-01-01-01-05,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-05,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,328597
01-01-01-01-01-01-06,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-06,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,270684
01-01-01-01-01-01-07,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-07,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,305684
01-01-01-01-01-01-08,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-08,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,303312
01-01-01-01-01-01-09,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-09,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,306079
01-01-01-01-01-01-10,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-10,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,290162
01-01-01-01-01-01-11,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-11,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,350646
01-01-01-01-01-01-12,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-12,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,245307
01-01-01-01-01-01-13,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-13,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,315231
01-01-01-01-01-01-14,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-14,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,291259
01-01-01-01-01-01-15,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-15,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,298835
01-01-01-01-01-01-16,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-16,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,295889
01-01-01-01-01-01-17,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-17,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,307692
01-01-01-01-01-01-18,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-18,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,295942
01-01-01-01-01-01-19,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-19,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,295614
01-01-01-01-01-01-20,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-20,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,286637
01-01-01-01-01-01-21,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-21,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,267508
01-01-01-01-01-01-22,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-22,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,298921
01-01-01-01-01-01-23,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-23,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,304164
01-01-01-01-01-01-24,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-01-24,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,292683
01-01-01-01-01-02-01,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-01,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,256625
01-01-01-01-01-02-02,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-02,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,279178
01-01-01-01-01-02-03,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-03,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,293117
01-01-01-01-01-02-04,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-04,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,286282
01-01-01-01-01-02-05,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-05,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,328324
01-01-01-01-01-02-06,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-06,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,272877
01-01-01-01-01-02-07,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-07,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,303200
01-01-01-01-01-02-08,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-08,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,305544
01-01-01-01-01-02-09,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-09,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,307029
01-01-01-01-01-02-10,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-10,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,288699
01-01-01-01-01-02-11,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-11,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,350257
01-01-01-01-01-02-12,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-12,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,244213
01-01-01-01-01-02-13,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-13,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,318696
01-01-01-01-01-02-14,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-14,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,284770
01-01-01-01-01-02-15,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-15,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,298609
01-01-01-01-01-02-16,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-16,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,302976
01-01-01-01-01-02-17,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-17,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,310711
01-01-01-01-01-02-18,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-18,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,298153
01-01-01-01-01-02-19,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-19,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,298386
01-01-01-01-01-02-20,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-20,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,286752
01-01-01-01-01-02-21,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-21,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,265881
01-01-01-01-01-02-22,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-22,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,295991
01-01-01-01-01-02-23,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-23,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,304210
01-01-01-01-01-02-24,/kaggle/working/ravdess_faces_16f/01-01-01-01-01-02-24,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,295700
01-01-01-01-02-01-01,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-01,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,261521
01-01-01-01-02-01-02,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-02,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,282209
01-01-01-01-02-01-03,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-03,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,286300
01-01-01-01-02-01-04,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-04,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,291620
01-01-01-01-02-01-05,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-05,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,323510
01-01-01-01-02-01-06,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-06,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,268669
01-01-01-01-02-01-07,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-07,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,299029
01-01-01-01-02-01-08,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-08,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,302347
01-01-01-01-02-01-09,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-09,15,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",15,,305826
01-01-01-01-02-01-10,/kaggle/working/ravdess_faces_16f/01-01-01-01-02-01-10,16,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,,293236
